N_COMMENT,sdoafk,
N_REGIONKEY,aklucq,
N_NAME,dsimpc,
N_NATIONKEY,jzyyan,
nation,table_2hznf8,
S_ACCTBAL,vgtjyg,jyfxwl,cxtwxo,arduqi,kwfyuc,xpyhce,lgovns,lplerr,hbrfbx,lahkvl,
S_PHONE,bfagtj,ikgawt,sunugt,bnavpt,mzkqqu,mdlzrs,vsblxv,kydpgw,chxezw,vtworz,
S_NATIONKEY,hcyikg,dbygif,znpdpr,ywwutx,oeaysu,rldztf,fcpvgc,wfbvqj,gdhcsu,hifqrh,
S_ADDRESS,guxjyc,bqbkbq,jdwnjz,zgbvhl,hfkevx,jnbxtu,jgxveh,blmjoa,ulhtbq,ysnnus,
S_NAME,hxkxro,hwamnw,qckfft,lugxcm,oyutja,magqqb,uizkgo,qcrzkl,drhivz,demijq,
S_COMMENT,eijkju,xulhrb,ptbjsk,lqdrfh,izefup,iupgrp,ecnval,efzkad,dkyhnt,rnrtxk,
S_SUPPKEY,vnfuxu,eunjgm,fmpgny,oztdwy,yojiyv,auepwf,nnnyvr,qwcady,dtnjxb,cegepp,
supplier,table_yg9x6f,table_61xjt7,table_2ns5xm,table_z3e8vr,table_8ybnyp,table_ykip8p,table_byriuz,table_utz2b2,table_1qooii,table_phmsyp,
L_COMMENT,wlvusp,mssuap,zwsvim,ztcpws,umkspy,jndfhj,cjrhzp,tzekyj,pmoven,trycmq,zuuhmy,ylknrz,ixiebh,anijlz,tsbxyl,yeocby,qjkwgo,lqwdrb,skpinz,pnrgaw,
L_SHIPMODE,tijluk,edajng,tkxyoq,mxrraj,ldbenq,cdllpd,lwifxs,prhgab,yltlwe,ecmxsa,xvyxil,vjtfhf,leyvnz,kqcpgk,shiatm,adoxdp,fgyqek,ebhrse,lyckrr,zhkcpd,
L_SHIPINSTRUCT,pxwpmd,lzijri,rvtozs,yqrwuo,qbqjfk,pwsbls,twhaja,bqykyf,hcllcm,ojcrnx,oxsbig,jwhhrc,egyzwc,qhgkwy,mjetlq,pebbzl,etbmmu,ggfvlf,jfcnpu,aejzic,
L_RECEIPTDATE,ptehpk,ckedir,daeqmu,pvnccb,fxxbuq,cxgezm,mtijrb,lcnocj,mxbrzp,uofgdr,ulyajn,ugbcsf,nijxnr,nqjymt,apbjae,fndytu,cftppx,xkxiha,lmnjyp,vsbplp,
lineitem,table_n3mf4v,table_w6ddy9,table_b1n4sc,table_8egah3,table_o0rgm1,table_xdd7aq,table_ni1lze,table_1a3lie,table_3bu30u,table_yvrluc,table_lt18pl,table_2aawbj,table_psdy6p,table_ddw5xk,table_mjh8k6,table_7pgzc1,table_z98gev,table_vnkso1,table_ark1tc,table_j5n93x,
L_LINESTATUS,svfbek,rhtrph,vbuiqd,trxgfj,vxxelu,dtamhd,jjhtyh,evqnwv,suhwqz,jbpxou,hxpnos,yofkex,qglsej,srbkkb,sinsjo,udkuvk,exphiw,vrmodf,zvoddq,lpboza,
L_PARTKEY,gwrava,vvuuvu,sjwopo,epszuo,mdmykn,sxfldf,frwqhd,bdxptu,jbkhzr,seizii,pphymp,fucbfs,exujqe,juzvly,upenfy,nzbhfo,zhlkic,qmgpjh,drhkir,hhkewb,
L_ORDERKEY ,evmalc,jikqvs,zvblrq,fbrhcq,eumguk,ohxtoz,hkmpdu,abdwrf,xykxmx,uoreia,mjoxrp,rdwcfa,lgcmbh,ezohww,csmtzz,skedie,seuxig,elwmdh,gebjdh,vkoecx,
L_SUPPKEY,sanpvp,ktfdmf,hcfxci,ggkcvo,lcswqk,pqeofd,mtqhmt,yitjgz,nszbtz,nkvwmi,somnzd,tdklrx,ghnclw,dqbwqd,dyyokl,tnbocl,dqkgpp,mbvjdh,xeppwb,gdnmew,
L_EXTENDEDPRICE,keqswx,ybrcpp,kzhswn,ybkkmc,bszgvt,kborps,vklaxf,rbbeil,xgaokp,bqywbk,dzaofp,rqwzpz,umuqny,isjetb,crvaws,bhxahr,wkqxdx,myrfnh,ajfoph,fhnyan,
L_SHIPDATE,wpsxxd,hzvrii,jvgtwb,gaxdim,ntztvm,vglyqm,mluclz,vaigpi,nmlapq,dqimvk,ycxnaw,enxecj,kaspox,lrhrnt,pbponw,hkbvuu,cluumc,yaxbpu,trguvn,dkdnzo,
L_DISCOUNT,ugbuzn,hccorl,ytbrns,syyvpc,pmttuh,cspvcw,ybbnlt,uoiuzm,xwvzze,qpusng,gykowf,jvnmzj,slvoso,ivsumh,cpzrdi,qgelmh,apztoe,kbjsxh,hvzcav,styvwy,
L_RETURNFLAG,krrmlr,ptmxeh,lqbfef,hmgsxy,cndvmm,xngvon,lmgxjj,edwvpl,vsysql,tdyrim,xjfans,vupgbd,tcgzmy,zqfqyz,wiyajm,axkirp,zbaklo,dmkjio,lqrimo,itkbmj,
