1 5998470 60020 21 5 13 12740.26 0.08 0.07 N O 1998-04-21 1998-03-22 1998-04-27 COLLECT COD AIR ccording to the slyly pe 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5962531 127508 21 7 38 58349.00 0.04 0.07 N O 1997-11-17 1997-10-24 1997-11-29 TAKE BACK RETURN FOB  carefully regular accounts h 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5953252 57515 21 5 46 67735.46 0.03 0.01 R F 1993-04-05 1993-04-28 1993-04-09 TAKE BACK RETURN MAIL y. carefully quick theodoli 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5952613 67514 21 2 16 23704.16 0.07 0.07 A F 1992-03-31 1992-03-24 1992-04-02 TAKE BACK RETURN TRUCK around the slyly even multipliers. even  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5951589 117509 21 3 15 22897.50 0.03 0.04 N O 1995-09-16 1995-09-11 1995-09-27 TAKE BACK RETURN MAIL equests. carefully ironi 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5934436 27518 21 3 14 20237.14 0.03 0.03 N O 1997-07-30 1997-10-01 1997-07-31 COLLECT COD TRUCK fter the carefully re 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5918405 130020 21 2 22 23100.44 0.04 0.01 N O 1995-07-16 1995-07-31 1995-08-01 NONE REG AIR ic deposits. even packages slee 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5917762 112487 21 4 43 64477.64 0.04 0.02 N O 1997-03-22 1997-04-22 1997-04-21 DELIVER IN PERSON AIR ose packages. bold gr 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5907361 102490 21 4 11 16417.39 0.09 0.05 N O 1996-05-10 1996-06-02 1996-05-24 TAKE BACK RETURN REG AIR requests run 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5895461 30020 21 1 29 27550.58 0.06 0.00 A F 1993-12-04 1993-12-16 1993-12-15 NONE MAIL yly bold deposits.  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5894948 100020 21 6 41 41820.82 0.10 0.07 R F 1995-04-06 1995-02-25 1995-04-15 NONE TRUCK requests hang. depe 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5893633 95002 21 3 4 3988.00 0.09 0.05 A F 1994-05-20 1994-03-20 1994-05-30 COLLECT COD RAIL ckly ironic packages  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5866881 180020 21 3 47 51700.94 0.09 0.03 N O 1998-07-12 1998-06-20 1998-07-21 TAKE BACK RETURN FOB s boost blithely  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5866182 182466 21 5 6 9290.76 0.04 0.01 N O 1995-12-02 1995-11-16 1995-12-26 TAKE BACK RETURN REG AIR y alongside of the reg 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5859013 105000 21 1 34 34170.00 0.01 0.08 N O 1995-08-27 1995-10-14 1995-08-28 COLLECT COD AIR ly ironic fo 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5843008 187502 21 3 37 58811.50 0.07 0.05 R F 1995-03-22 1995-05-13 1995-04-16 DELIVER IN PERSON AIR inal ideas. attainm 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5842469 152475 21 6 48 73318.56 0.09 0.07 A F 1993-01-07 1993-01-01 1993-01-23 TAKE BACK RETURN RAIL  packages. sly 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5819270 67514 21 5 16 23704.16 0.08 0.03 R F 1994-10-31 1994-11-15 1994-11-01 COLLECT COD RAIL unusual pinto beans against the slyly  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5815779 85004 21 2 32 31648.00 0.01 0.07 N O 1996-03-14 1996-03-31 1996-03-15 NONE SHIP uickly ironic grouches. blithely ex 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5806594 167504 21 4 19 29858.50 0.06 0.05 R F 1993-09-09 1993-07-11 1993-10-08 NONE TRUCK quick, eve 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5796869 60020 21 2 34 33320.68 0.10 0.08 N O 1996-02-03 1995-11-16 1996-02-10 COLLECT COD AIR l courts. quickly special foxes cajole abo 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5790881 42508 21 5 27 39163.50 0.00 0.05 N O 1996-04-13 1996-04-13 1996-04-17 COLLECT COD MAIL ing dependencies cajole. iro 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5748675 65008 21 1 13 12649.00 0.08 0.01 R F 1994-06-24 1994-06-24 1994-07-08 TAKE BACK RETURN TRUCK ts. furiously ironic excuses  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5726499 194982 21 1 16 33231.68 0.09 0.03 A F 1993-10-11 1993-10-10 1993-11-08 TAKE BACK RETURN REG AIR ges cajole slyly slyly regul 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5724071 50020 21 2 48 46560.96 0.06 0.00 N O 1997-09-21 1997-09-02 1997-09-30 TAKE BACK RETURN FOB ng packages. theodolites haggle 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5720771 90020 21 5 50 50501.00 0.05 0.07 A F 1994-02-07 1994-01-11 1994-02-14 DELIVER IN PERSON RAIL into beans solve pend 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5716357 57515 21 2 6 8835.06 0.06 0.07 R F 1992-08-29 1992-09-14 1992-09-15 NONE SHIP r the even ideas  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5715874 147506 21 1 2 3107.00 0.05 0.02 A F 1993-11-24 1993-12-15 1993-12-10 NONE REG AIR ccounts af 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5704867 160020 21 2 23 24840.46 0.01 0.03 R F 1994-05-01 1994-04-25 1994-05-02 NONE FOB final ideas promise. blithe 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5693536 162472 21 1 7 10741.29 0.05 0.07 N O 1996-03-05 1996-05-17 1996-03-20 TAKE BACK RETURN SHIP ounts about the t 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5682115 187502 21 1 41 65169.50 0.05 0.07 R F 1993-07-13 1993-08-22 1993-07-30 NONE SHIP y regular packages wa 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5664384 110020 21 1 46 47380.92 0.08 0.03 N O 1997-10-24 1997-11-04 1997-10-28 DELIVER IN PERSON REG AIR eposits cajole with the ac 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5661925 192463 21 7 6 9332.76 0.01 0.01 R F 1995-03-10 1995-01-08 1995-04-03 TAKE BACK RETURN TRUCK olites detect furiously furiously sp 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5661793 77513 21 4 45 67072.95 0.09 0.04 N O 1997-02-20 1997-01-28 1997-02-27 NONE TRUCK ithely pending Tiresias 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5635361 37517 21 6 17 24726.67 0.02 0.07 R F 1993-10-08 1993-10-12 1993-10-13 NONE MAIL ts haggle quietly ironic 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5633220 192463 21 4 34 52885.64 0.10 0.01 R F 1995-03-28 1995-03-20 1995-04-25 COLLECT COD TRUCK according to the acco 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5626885 5020 21 1 36 33300.72 0.09 0.06 R F 1994-03-11 1994-02-07 1994-04-04 NONE TRUCK ate carefully about 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5623137 67514 21 3 19 28148.69 0.10 0.00 N O 1995-12-08 1996-01-19 1995-12-09 NONE RAIL ly bold accounts. carefully bold  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5597574 75006 21 3 19 18639.00 0.00 0.06 N O 1998-02-08 1998-01-16 1998-02-17 COLLECT COD REG AIR posits. slyly silent ideas affix quick 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5582304 194982 21 6 35 72694.30 0.06 0.05 N O 1996-04-12 1996-04-02 1996-05-04 TAKE BACK RETURN TRUCK sly regular requests. carefully pen 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5576962 67514 21 3 43 63704.93 0.00 0.07 N O 1997-12-01 1998-01-20 1997-12-19 TAKE BACK RETURN SHIP ke blithely near the regular 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5571425 87512 21 5 39 58480.89 0.10 0.04 N O 1998-04-30 1998-03-14 1998-05-09 COLLECT COD FOB uickly slyly bold packages. s 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5523878 107510 21 4 5 7587.55 0.05 0.07 N O 1997-09-01 1997-08-30 1997-09-04 DELIVER IN PERSON SHIP jole furiously care 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5500868 154990 21 1 4 8179.96 0.06 0.03 R F 1994-07-20 1994-05-15 1994-08-12 TAKE BACK RETURN TRUCK ven instructions wake requests. busily i 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5499969 27518 21 2 3 4336.53 0.05 0.08 A F 1992-08-04 1992-07-06 1992-08-13 TAKE BACK RETURN TRUCK ole around the furious 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5496002 130020 21 1 10 10500.20 0.05 0.00 R F 1993-11-02 1993-12-06 1993-11-22 DELIVER IN PERSON REG AIR ld ideas eat slyly regular instructions. 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5487589 105000 21 1 46 46230.00 0.06 0.03 A F 1995-03-11 1995-05-08 1995-04-08 COLLECT COD FOB ording to the slyly p 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5479172 65008 21 2 37 36001.00 0.06 0.07 R F 1994-06-09 1994-05-12 1994-06-12 COLLECT COD FOB ss instructions doubt blithe 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5443043 174986 21 5 11 22670.78 0.00 0.02 N O 1996-01-24 1995-11-30 1996-01-29 DELIVER IN PERSON TRUCK press packag 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5442469 82496 21 6 42 62096.58 0.09 0.01 R F 1993-04-28 1993-04-08 1993-05-19 DELIVER IN PERSON TRUCK ically slow platelets detect care 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5441189 32511 21 1 45 64957.95 0.03 0.08 N O 1995-10-19 1995-10-26 1995-11-09 NONE SHIP ole slyly special excuses. ideas cajole qu 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5425187 77513 21 3 11 16395.61 0.03 0.00 N O 1996-06-10 1996-05-13 1996-06-18 TAKE BACK RETURN REG AIR s ideas. instruc 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5418690 40020 21 2 39 37440.78 0.07 0.06 N O 1998-06-25 1998-04-22 1998-07-01 TAKE BACK RETURN SHIP . bold braids against t 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5400193 190020 21 6 12 13320.24 0.00 0.05 R F 1994-07-31 1994-08-09 1994-08-13 DELIVER IN PERSON TRUCK s are fluffily  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5391618 102490 21 6 25 37312.25 0.03 0.00 N O 1996-02-05 1996-04-05 1996-03-06 TAKE BACK RETURN AIR slyly against the unusual t 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5389543 180020 21 2 20 22000.40 0.09 0.03 R F 1992-07-02 1992-06-22 1992-07-17 COLLECT COD TRUCK express pack 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5385030 20020 21 1 20 18800.40 0.07 0.01 N O 1996-03-18 1996-04-16 1996-04-14 TAKE BACK RETURN FOB ar dolphins wake care 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5381475 147506 21 2 9 13981.50 0.09 0.08 A F 1992-11-22 1992-12-11 1992-11-24 DELIVER IN PERSON MAIL  accounts about the packag 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5357217 152475 21 1 13 19857.11 0.06 0.07 N O 1996-02-02 1996-02-20 1996-02-08 DELIVER IN PERSON TRUCK s. carefully regular foxes no 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5346598 62502 21 1 49 71760.50 0.07 0.06 N O 1997-07-16 1997-05-17 1997-07-22 DELIVER IN PERSON FOB elets. blithely b 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5333638 127508 21 2 1 1535.50 0.01 0.02 N O 1997-02-12 1997-03-27 1997-02-28 NONE SHIP lets integrate 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5332967 162472 21 3 20 30689.40 0.06 0.03 N O 1995-06-20 1995-08-17 1995-07-09 DELIVER IN PERSON REG AIR n pinto beans above the final braids 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5322306 114998 21 2 41 82532.59 0.08 0.05 N O 1995-09-03 1995-10-21 1995-09-23 COLLECT COD SHIP lyly unusual depths  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5321382 174986 21 2 3 6182.94 0.02 0.07 N F 1995-06-09 1995-04-29 1995-06-24 NONE TRUCK s are pending deposits. accounts print slyl 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5309123 124996 21 1 13 26272.87 0.09 0.00 A F 1993-06-29 1993-05-18 1993-07-01 NONE MAIL counts sleep always special foxes. regu 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5306401 55010 21 5 30 28950.30 0.02 0.06 N O 1997-11-04 1997-10-02 1997-11-09 COLLECT COD AIR ts cajole slyly. bold packages are furious 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5291776 107510 21 3 16 24280.16 0.03 0.08 N O 1997-01-23 1997-02-11 1997-02-22 TAKE BACK RETURN FOB rding to the fluffily regula 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5287428 100020 21 1 28 28560.56 0.04 0.00 R F 1994-11-12 1994-12-11 1994-11-21 DELIVER IN PERSON REG AIR he special requests boost ironic, regul 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5269988 15018 21 2 38 35454.38 0.03 0.08 R F 1993-08-19 1993-06-21 1993-09-11 TAKE BACK RETURN TRUCK cording to the slyly express orbi 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5268871 77513 21 2 2 2981.02 0.03 0.01 N O 1997-08-03 1997-08-21 1997-08-27 DELIVER IN PERSON AIR nod carefully al 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5268518 114998 21 4 46 92597.54 0.01 0.01 N O 1996-10-10 1996-11-16 1996-10-31 TAKE BACK RETURN FOB sts. ideas believe final theo 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5266983 120020 21 3 45 46800.90 0.06 0.01 R F 1994-04-09 1994-02-22 1994-04-15 COLLECT COD AIR ckages integrate f 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
