N_COMMENT,ointxn,
N_REGIONKEY,ckoeux,
N_NAME,ndyfep,
N_NATIONKEY,sstcnp,
nation,table_uhv5rc,
L_COMMENT,zzxfqy,ggwnbh,hrgisi,aqxcac,cdnoqn,fsjbxu,keykvb,qocxou,xfnoid,wcstvj,pkwwvc,zklrqs,lxamjk,evwikn,xwrlqx,rfvwxk,ulzlje,tmsorr,kstmhg,pjrtfs,
L_SHIPMODE,eerfmp,wwdisz,eskrsm,feqmgk,aezvkl,dygnbn,bfzdwe,jmsdpb,rnhmpi,ybwjjj,jcufxs,eiktke,ykbtqu,zdliop,jrbiov,sdmkfb,tnlhoz,btbmnx,beeucg,xbsjjl,
L_SHIPINSTRUCT,nkhcmy,kijybd,bnhghj,npolyx,ptgtid,fkbksj,qymvyi,kipbme,okgakb,kfvwxt,uywtae,slnxev,qkrgji,dizgxd,mjvlhe,szkdmh,ofgdzu,jdcydw,negveq,ssavkw,
L_RECEIPTDATE,jwkwna,nbvpwd,lfprlf,vpoyvd,zqoozf,hqkzor,hvhauh,rnkrlu,pqivpm,lcyqjx,anonmp,qkirmc,uvdooa,dukfha,dienfa,igobgh,byqazk,mbrjpv,brtuzp,gbilir,
L_COMMITDATE,ygvdpg,dqcmdw,ppivjo,yswhda,pffzxd,ycoasx,bcuequ,jdhpnz,cciewq,djyihl,ifblnb,ffvrxm,nwjgrb,xflyef,tqiwwt,eyobxj,oxudnp,mvfpac,mbdikd,sgmgbe,
L_SHIPDATE,reuwsd,yalipu,krhfdf,iphdcu,kemeuf,hcynuu,mhkpxc,dwzxrb,yvkucb,njxurb,rgeygc,dswfbm,yibknd,bivcio,tlqego,nhxibu,vpvixr,awfwbw,odxqkt,yccqxj,
L_LINESTATUS,guezik,hmrrxg,rlmcsl,tuuvbe,vsvpih,mbbpaf,zjnulq,tzizzg,qqtexl,kupiok,lookza,ilyqzh,nqhqno,qqjvsi,wfakiv,ndqefk,ddrqju,uplbcs,dvoiei,cdysvr,
L_QUANTITY,vlvtbn,ynucxv,ucjqux,jegual,qxppye,jwjufv,kmzsnl,mdcezt,wuawdj,umlxsv,wwvgdn,fvxteq,njbdlu,kkqgks,isaosk,tpnekr,moyglx,wdoikl,urrgzo,zuxrkg,
L_DISCOUNT,nkexgx,dvbvbs,emldxd,tbulak,gdunlx,fwlfam,usqtso,ochksv,gfysob,tmvmny,xpayha,ncmynf,xwgafw,wwouht,rejafc,cjdbiz,zvhhqe,lavzhi,ulicnj,dvtefc,
L_ORDERKEY ,dwpbto,nbzswp,eldurd,blpetf,qnswts,hfmqwp,kjmgdi,kysmfd,ykmenk,sfgcpu,gjfcpk,wabkgw,gmllfk,rhgaqw,njqpsn,nxbfqz,sldoss,nnklmf,syexkq,gpsrrb,
L_RETURNFLAG,wrbchq,mjijdc,ovocjq,wtgqui,zjhpcn,nmlkdw,xgsvph,fmwrco,yfwhvw,wabddv,faejdi,rqudvc,qrrvim,ghgijx,vuhjfb,iedgdo,ffxhei,lbddgn,chkjgu,tppqmu,
L_SUPPKEY,hzbxku,tqeliq,xkngsp,ouagzq,aojfbz,vsadko,jscbsx,sghrnm,dofmvf,oxnqms,kuziyd,jaygls,bnqqsu,xyjlul,glecxb,bowiah,zjlbfh,xpqemw,yamqnj,ooclhh,
L_LINENUMBER,dpmanc,yungfi,eevboh,muczjw,gynaac,tlxyww,lxbplp,bywtvl,tyspey,hfllbi,znwexb,gupwha,lozuft,wawdog,kmzmnu,subdqm,uqpsai,vizgmi,slgheo,uorxzq,
lineitem,table_yjydm4,table_zgth8i,table_pub2cd,table_w0ne3b,table_at25ud,table_390txq,table_ea1cx4,table_cc6mes,table_sqy19t,table_g2pghj,table_ilnsn2,table_g7npgw,table_78uyow,table_nktq1f,table_0ptjmi,table_qcjoj8,table_91k6rr,table_tcmkvg,table_eevat9,table_1mp3t0,
L_EXTENDEDPRICE,zrcltg,jyqdio,tpvyjo,pzdorq,plplio,favcfi,jwlhbw,coyytp,bstmmx,iewdsx,tysbtj,rusuqw,kxiurv,sormzt,gvmoun,bknhha,bomgis,xywzai,dkjdsf,bibboq,
L_PARTKEY,ufbulp,xsmitj,andafw,yheqwi,cdzgrs,xwoxeh,fzhxjp,zmqyyt,kkdlsf,ouemkd,wzwmhu,hvdeen,rhojzx,aaxhgi,mlbrgv,tyiiia,tjuwhz,jjjeln,mctnqf,tojnvs,
L_TAX,vqnjjx,khqttf,nufqxh,kilscx,tjzdil,iytmbd,jgadbv,jhdpll,zivfsx,dbbyvn,npndox,nbajrd,nqvpga,dajcjz,ewfayo,nwjgpt,ioozcc,ociiag,qrkduk,ssjjlu,
